00____314
01____189
02____175
03____312
04____254
05____353
06____212
10____183
11____128
12____123
13____188
14____158
15____232
16____146
20____178
21____122
22____116
23____186
24____138
25____211
26____140
30____327
31____228
32____212
33____356
34____272
35____387
36____251
40____302
41____217
42____201
43____342
44____268
45____354
46____239
50____413
51____273
52____255
53____403
54____361
55____487
56____291
60____178
61____137
62____125
63____196
64____156
65____233
66____149
