00____617.9676807306379
01____723.4396179889646
02____530.7098159359464
03____1274.0099566105202
04____674.1962531045191
05____842.5352331538173
06____860.1265870304073
10____375.861524153374
11____544.8503642057676
12____393.66358880735305
13____803.220237420319
14____445.6699960381466
15____472.8325080504064
16____605.1317812491312
20____302.00996644889074
21____472.5566422647655
22____323.64690546428415
23____672.005650744296
24____359.66965365845937
25____378.71250389435687
26____518.6250024588111
30____880.1155818413894
31____1022.8054538588417
32____865.7157239913474
33____1812.332611405836
34____986.0037332375272
35____1212.9799112700716
36____1189.5108618040674
40____902.988184092129
41____988.5714348358276
42____784.1096609127092
43____1669.1981105188736
44____1036.1790458821463
45____1147.740080025811
46____1151.7697416749047
50____1164.929720113314
51____1182.6939914680045
52____988.7608923094791
53____2078.0203598856856
54____1351.826377002713
55____1405.132093475559
56____1425.8149764101358
60____399.7693851371818
61____576.7485273488875
62____406.04086126545945
63____876.4304110789441
64____465.79912061490944
65____512.516341505746
66____642.9027460885223
