0,1
C3,ABCA1
C3,SORL1
C3,RYR1
C3,FCRL4
DLL4,LRP2
DLL4,LRP1
APOE,ITGB2
APOE,ITGB5
APOE,CD44
APOE,ITGB1
APOE,ITGAM
APOE,ITGAV
APOE,ITGB8
APOE,SDC1
APOE,OLR1
APOE,TLR4
APOE,RYR2
APOE,TRPM3
APOE,RYR1
APOE,FCRL4
APOE,ASGR2
NCAN,ABCA1
LAMA5,ITGB2
LAMA5,NOTCH1
LAMA5,NOTCH4
LAMA5,NOTCH2
LAMA5,NOTCH3
LAMA5,LRP2
LAMA5,COL13A1
LAMA5,LRP1
LAMA5,ITGAM
LAMA5,ITGA1
LAMA5,DDR2
LAMA5,ITGA11
LAMA5,TMPRSS6
LAMA5,DDR1
LAMA5,CD47
LAMA5,LRP8
LAMA5,ABCA1
LAMA5,CD46
LAMA5,STAB2
LAMA5,COL17A1
LAMA5,MAG
LAMA5,PTPRS
LAMA5,NT5E
LAMA5,FCRL4
LAMA5,ITGA10
F12,NOTCH1
F12,NOTCH4
F12,NOTCH2
F12,NOTCH3
F12,LRP2
F12,ITGB1
F12,COL13A1
F12,LRP1
F12,LDLR
F12,ABCA1
F12,MAG
F12,PTPRS
F12,TNFRSF10A
JAG1,LRP2
JAG1,LRP1
CRP,ITGB2
CRP,LRP2
CRP,ITGB1
CRP,LRP1
CRP,ITGAM
CRP,LDLR
CRP,VLDLR
CRP,MTTP
CRP,LSR
CRP,TLR6
CRP,TLR4
CRP,LRP8
CRP,ABCA1
CRP,RYR2
CRP,SORL1
CRP,LRP4
CRP,STAB2
CRP,TRPM3
CRP,RYR1
CRP,ASGR2
TSHB,IFNAR2
TSHB,IFNAR1
GRP,IFNAR2
SPX,IFNAR2
LACRT,EGFR
LACRT,ERBB4
LACRT,ITGB2
LACRT,FGFR1
LACRT,ITGB5
LACRT,CD44
LACRT,ITGB7
LACRT,ITGB1
LACRT,ITGB3
LACRT,ITGAV
LACRT,CD36
LACRT,ITGA5
LACRT,TLR4
LACRT,SDC3
LACRT,CD151
LACRT,SSTR2
LACRT,GPC1
LACRT,FCRL4
LAMC1,LRP2
LAMC1,ITGB8
LAMC1,DDR2
LAMC1,ITGA11
LAMC1,TMPRSS6
LAMC1,DDR1
LAMC1,CD47
LAMC1,LRP8
LAMC1,ABCA1
LAMC1,COL17A1
LAMC1,MAG
IL36G,IFNAR2
IL36G,IFNAR1
IL1RN,IFNAR2
IL36A,IFNAR2
IL36A,IFNAR1
IL36B,IFNAR2
IL36B,IFNAR1
ORM1,IFNAR2
ORM1,IFNAR1
CCN3,LRP2
CCN3,ITGB1
CCN3,LRP1
CCL21,IFNAR2
CCL21,IFNAR1
CCL27,IFNAR2
MMP7,ITGB2
MMP7,FGFR1
MMP7,ITGB5
MMP7,ITGB1
MMP7,ITGB3
MMP7,ITGA5
MMP7,SDC3
MMP7,FCRL4
THBS1,ERBB4
THBS1,ITGB2
THBS1,ITGB5
THBS1,CD44
THBS1,ITGB7
THBS1,LRP2
THBS1,ITGAM
THBS1,ITGB6
THBS1,ITGAV
THBS1,ITGB8
THBS1,ITGA7
THBS1,ITGA1
THBS1,ITGA2
THBS1,PLAUR
THBS1,ITGA5
THBS1,CD93
THBS1,FLT4
THBS1,TMPRSS6
THBS1,ITGA8
THBS1,ABCA1
THBS1,SDC3
THBS1,ITGAX
THBS1,CD151
THBS1,MAG
THBS1,MUSK
THBS1,TNFRSF10A
THBS1,GPC1
THBS1,FCRL4
ADAM10,LRP5
ADAM10,FCRL4
COL8A1,ITGB1
COL8A1,ITGA11
VWF,ITGB2
VWF,ITGB5
VWF,CD44
VWF,LRP2
VWF,ITGB1
VWF,TPO
VWF,ITGAM
VWF,ITGAV
VWF,ITGB8
VWF,SDC1
VWF,ITGA6
VWF,ITGA1
VWF,ITGA2
VWF,ITGA5
VWF,FLT4
VWF,TMPRSS6
VWF,LDLR
VWF,VLDLR
VWF,LRP8
VWF,ABCA1
VWF,CD46
VWF,MAG
VWF,ITGA3
VWF,NT5E
RIMS2,PLXNA1
RIMS2,PLXNB2
RIMS2,LRP2
RIMS2,ITGB1
RIMS2,ITGA7
RIMS2,ITGA1
RIMS2,PLXNA4
RIMS2,PLXNA2
RIMS2,PTPRB
RIMS2,ROBO1
RIMS2,ADGRL1
RIMS2,NRXN3
RIMS2,PLXNB3
RIMS2,CFTR
RIMS2,ITGB4
RIMS2,NRXN2
RIMS2,PLXNB1
ANOS1,ERBB4
ANOS1,ITGB2
ANOS1,ITGB5
ANOS1,CD44
ANOS1,ITGB1
ANOS1,ITGB3
ANOS1,ITGAV
ANOS1,CD36
ANOS1,SDC1
ANOS1,ITGA5
ANOS1,SDC3
ANOS1,CD151
ANOS1,SSTR2
ANOS1,FCRL4
TIMP2,ITGB2
TIMP2,ITGB5
TIMP2,ITGAM
TIMP2,ITGB3
TIMP2,ITGAV
TIMP2,ITGB8
TIMP2,CD36
TIMP2,SDC1
TIMP2,ITGA5
TIMP2,FLT4
TIMP2,SDC3
TIMP2,FCRL4
LGALS3BP,ITGB2
LGALS3BP,FGFR1
LGALS3BP,ITGB5
LGALS3BP,CD44
LGALS3BP,ITGB3
LGALS3BP,SDC3
LGALS3BP,FCRL4
CKLF,TLR4
LAMC2,ITGA1
LAMC2,ITGA11
LAMC2,TMPRSS6
LAMC2,CD47
LAMC2,ABCA1
LAMC2,MAG
NID1,ITGB2
NID1,ITGB5
NID1,ITGAM
NID1,ITGB8
NID1,ITGA1
NID1,ITGA2
NID1,ITGA5
NID1,FLT4
NID1,ABCA1
NID1,MAG
FGF2,EGFR
FGF2,ADRB2
FGF2,ITGB5
FGF2,ITGB1
FGF2,ITGB3
FGF2,KDR
FGF2,BMPR2
FGF2,IL6R
FGF2,SSTR2
FGF2,ITGA9
FGF2,FCRL4
FGF2,F2RL1
WNT5A,ITGB1
WNT5A,IGF2R
WNT5A,LRP1
WNT5A,VLDLR
WNT5A,SORL1
WNT5A,AR
WNT5A,PTPRZ1
